SYMBOL	a4676163030_C	a4676163030_D	a4676163030_A	a4676163030_G	a4676163030_H	a4676163030_E	a4676163025_H	a4676163025_J	a4950679045_C
BNIPL	6.43671	6.28374	6.46521	6.3667	6.28154	6.53742	5.95516	6.72919	6.50132
C19orf26	6.09909	5.88381	6.01766	5.98316	6.03327	5.98414	6.00202	5.99765	6.0009
C1orf95	6.19421	5.69561	5.7595	5.87859	5.92653	5.8442	5.98517	5.8623	5.80185
CAMK2N1	6.00296	5.85889	5.87243	5.66586	6.12035	5.94806	6.14659	5.67743	5.91024
CASC2	6.77689	6.98752	6.73881	6.58145	7.07732	6.84444	6.05958	7.65202	6.79163
CITED1	5.8859	5.87756	5.9559	5.71696	5.98552	6.01687	5.9494	5.78357	5.98639
DCDC2	6.12043	5.62663	6.06558	6.01362	5.81992	5.9791	5.82677	5.96352	6.02234
FAM186B	6.01031	6.02937	6.01356	6.1381	6.04256	5.87258	5.94497	6.1652	5.94307
FAM46B	6.1293	5.88534	5.82887	5.72979	6.1151	5.99863	6.21914	5.71063	5.91375
FILIP1	6.04	6.18985	6.37125	6.27083	6.3666	5.96367	6.47003	5.96361	6.16746
FSCN2	5.98972	5.80167	5.94055	5.70732	6.14531	5.87932	5.98298	5.83903	5.90994
GAD1	5.77251	6.0271	5.93357	5.90087	5.88389	5.94842	5.75638	6.03581	5.941
GALNT8	6.08217	6.10286	6.11378	6.00862	6.20457	6.08561	6.02852	6.17059	6.0997
GLI3	6.16805	6.28664	6.27661	6.46772	6.17072	6.09285	6.30425	6.24232	6.18473
GRPR	6.04091	5.81883	5.88643	5.94314	6.10989	5.69315	6.04124	5.91514	5.78979
GXYLT2	5.70724	5.7513	5.80117	5.73108	5.98255	5.54609	5.94937	5.63671	5.67363
HOXA4	5.9921	5.98603	5.86683	6.10073	5.81274	5.93149	6.13343	5.81237	5.89916
IQUB	6.38217	6.02866	6.23756	6.14543	6.26932	6.23363	5.84711	6.56569	6.2356
ITPKA	6.5684	6.8909	6.57339	6.56749	7.04857	6.41663	6.06088	7.4768	6.49501
KIAA0319	5.57169	5.8358	5.9782	5.83801	5.92338	5.62429	5.65792	5.92652	5.80125
LOC643339	6.58907	6.23985	6.15449	6.45928	6.4414	6.08273	6.38726	6.47754	6.11861
MLXIPL	5.95382	5.8883	6.04759	5.89764	6.17011	5.82196	6.22162	5.73332	5.93477
NLRP6	6.10882	5.67718	5.91317	6.01076	5.904	5.78441	5.8723	5.97808	5.84879
NXN	6.33816	6.37967	6.43922	6.41521	6.36173	6.38012	6.11257	6.63482	6.40967
OSBP2	5.96777	5.9012	5.99799	5.9684	5.73096	6.1676	5.83016	5.954	6.0828
PDZD3	6.14825	6.05885	6.32063	6.10136	6.29054	6.13583	6.27743	6.02207	6.22823
PHYHIP	6.5834	6.47846	6.31578	6.4353	6.53633	6.40601	6.19935	6.8174	6.36089
PLCXD2	5.96056	5.99268	5.92179	6.15387	5.85782	5.86333	5.92165	6.06081	5.89256
PPL	6.18284	6.01397	5.84122	6.04006	6.04052	5.95744	5.89256	6.24613	5.89933
PRAME	6.16799	5.68045	5.88795	6.01532	5.93599	5.78509	5.7064	6.19347	5.83652
PTK7	5.67379	5.9823	6.05364	5.88434	5.96606	5.85933	5.70744	6.04581	5.95649
RAB9B	5.95429	6.14483	5.90188	6.29751	5.79429	5.9092	6.17963	5.91582	5.90554
SLC23A3	6.03009	6.23904	6.003	6.02303	6.27383	5.97527	6.00721	6.27579	5.98913
SUMO4	6.59938	6.48601	6.72525	6.57883	6.73172	6.50009	7.19753	6.00044	6.61267
TMEM92	6.24684	5.88042	6.05302	6.06946	6.04618	6.06464	6.15851	5.96294	6.05883
VSIG1	5.78761	6.00026	5.74815	5.70002	5.83839	5.99762	5.6146	6.04854	5.87289
WNT10A	5.98714	5.95843	6.14627	6.04203	6.06547	5.98435	6.07065	5.95588	6.06531
ZNF793	6.08334	6.02812	5.7054	6.08544	5.90969	5.82173	6.12377	5.92952	5.76356
GPLD1	5.63039	5.96989	5.97234	5.96007	5.76017	5.85239	5.7362	5.92406	5.91237
GOLGA6B	6.6737	6.46395	6.5233	6.7211	6.25902	6.68083	6.51478	6.54411	6.60206
ACSL6	6.05425	6.0376	5.93578	6.02459	5.95767	6.04536	6.14595	5.89111	5.99057
ADAM20	5.65732	5.92269	6.06066	5.68687	5.92731	6.02648	5.64617	5.95093	6.04357
AGMAT	5.89421	5.95969	5.91539	5.89184	5.8094	6.06805	5.86933	5.90824	5.99172
ALS2CR11	6.13025	6.01294	5.86913	5.95746	6.00196	6.05291	6.08944	5.96187	5.96102
BMP2	6.22387	6.32814	6.15699	6.02727	6.35214	6.3296	6.05576	6.40996	6.24329
BSN	5.8304	6.21828	5.55565	5.81534	5.73057	6.05842	5.79056	6.00674	5.80703
C16orf71	6.06843	5.83226	5.81641	5.91219	6.00477	5.80015	6.10403	5.80479	5.80828
C6orf25	6.22025	6.70797	6.33884	6.38915	6.45517	6.42273	6.2091	6.67716	6.38078
C9	6.10528	6.01211	6.00575	6.05418	6.09528	5.97368	5.4275	6.70592	5.98971
CCDC114	6.15022	5.99846	5.5533	6.03806	5.7306	5.93331	6.23599	5.72268	5.74331
CCDC65	5.96788	5.56335	5.98161	5.52012	5.78737	6.20534	5.731	5.68836	6.09348
CCR10	6.08043	6.06785	6.38063	6.37377	6.23708	5.91807	6.54134	5.83822	6.14935
CD40LG	5.80765	5.98873	5.94159	5.82354	6.11491	5.79951	5.72462	6.14279	5.87055
CDH24	6.02539	5.73665	5.69917	5.88086	5.54522	6.03512	5.66581	5.92825	5.86715
CECR7	7.98379	8.02029	7.74572	8.3266	7.54669	7.87651	7.35422	8.58446	7.81112
CHST1	6.0811	6.04635	5.98174	6.22939	5.98469	5.89509	6.05413	6.11664	5.93842
CLIC5	7.48281	7.53496	7.23309	7.02252	8.15915	7.06919	7.69249	7.40723	7.15114
CMTM2	6.22428	5.85176	6.12512	5.98998	5.91776	6.29342	5.71937	6.27252	6.20927
CX3CL1	6.86056	5.54846	5.71102	6.08939	5.78208	6.24858	6.18854	5.95171	5.9798
DNAH7	5.9214	5.99432	6.21904	6.06894	6.03957	6.02625	5.86576	6.14636	6.12264
DNAJB13	6.01623	6.07767	5.99669	6.17863	5.84958	6.06238	6.19379	5.86726	6.02954
DNALI1	6.35357	6.16655	6.18322	6.27578	6.12135	6.3062	6.3545	6.10412	6.24471
DSEL	5.90219	5.77067	5.50298	5.65557	6.16335	5.35692	5.82175	5.92414	5.42995
EDAR	5.73051	6.15522	5.80966	5.94428	5.78641	5.96469	5.73062	6.07758	5.88717
EFCAB5	5.82623	6.41509	5.98874	6.03605	5.92422	6.26978	5.874	6.22679	6.12926
ELFN2	5.99219	5.65966	6.0684	6.08441	6.0876	5.54824	5.83252	6.07941	5.80832
ERBB3	6.48963	6.4658	6.4153	6.41512	6.45484	6.50077	6.6123	6.3004	6.45803
FAM81A	5.953	5.77097	5.79682	5.84544	5.64373	6.03161	5.9058	5.70077	5.91422
FBXO43	5.81766	5.8638	6.26647	5.78672	6.06432	6.0969	5.83234	5.93391	6.18168
FMOD	5.9166	6.1084	6.17964	5.94577	6.21424	6.04464	6.20942	5.88308	6.11214
FRMPD3	6.15507	6.49115	6.14548	6.41509	6.23829	6.13833	6.60734	6.04246	6.1419
GLT8D2	5.89865	6.13238	5.87031	5.8474	6.11368	5.94025	5.95135	6.0447	5.90528
GLTPD2	5.71755	6.10612	5.47743	5.76031	5.71289	5.82789	5.94854	5.69989	5.65266
GNAT2	6.06484	6.17296	6.23113	6.24092	6.08561	6.1424	6.09052	6.19165	6.18677
GPR135	5.88337	6.21541	5.6152	6.0441	5.99948	5.6704	6.00659	6.06459	5.6428
GPR156	6.29658	6.2531	6.17764	6.21214	6.24167	6.27352	6.64354	5.85821	6.22558
GPR22	6.05623	6.02915	5.8372	5.89641	6.03739	5.98878	6.0453	5.96429	5.91299
HSD17B6	5.84332	6.57823	5.86198	6.0795	6.1155	6.08853	6.17912	6.12916	5.97525
HYMAI	5.74819	6.0495	5.96673	5.8089	5.88982	6.06571	5.75489	5.99332	6.01622
IFNK	5.5987	5.98633	6.06739	6.08639	5.83068	5.73535	5.80271	5.94834	5.90137
IL12RB2	6.06494	6.33278	6.26643	6.1496	6.23985	6.27471	6.2709	6.12269	6.27057
KCNQ4	6.07834	5.94646	6.2437	6.0216	6.12664	6.12026	6.09474	5.99177	6.18198
KCNS1	6.38253	5.9527	6.12866	6.09378	6.23526	6.13485	6.12882	6.20332	6.13176
KIR3DL2	5.8143	6.29483	5.96846	6.1506	5.86191	6.06508	6.20679	5.85403	6.01677
KLC3	5.78533	5.95516	5.73651	5.76349	6.07192	5.64159	5.94037	5.84757	5.68905
KLHDC9	5.88372	6.35386	6.22254	5.98631	6.23149	6.24233	6.0104	6.21729	6.23244
KLRC1	6.09949	6.10924	6.0476	6.13807	6.06826	6.05	6.01606	6.19147	6.0488
LBX2	6.13429	6.61003	6.06705	6.47804	6.20478	6.12857	6.84513	5.86844	6.09781
LDHAL6A	6.16087	6.35133	6.47941	6.27701	6.78996	5.92464	6.7577	6.03188	6.20203
LHFPL4	5.95818	6.14967	6.19216	6.1321	6.17398	5.99393	6.13075	6.07622	6.09304
LRRC17	6.09187	6.06615	6.21702	6.05787	6.04293	6.27424	5.84502	6.28439	6.24563
LRRC8E	6.12435	5.94653	6.09952	6.09964	6.05471	6.01604	5.9327	6.17992	6.05778
LRRTM2	6.20153	6.39799	6.16877	6.26419	6.30791	6.1962	6.79343	5.79238	6.18249
LZTS1	5.99854	5.71921	5.92562	5.67943	6.11419	5.84975	5.77453	5.98116	5.88768
MAPK8IP1	5.77454	5.83485	5.90724	5.87013	5.82359	5.82291	6.02892	5.62263	5.86508
MAST1	5.7817	6.01384	5.81191	5.79096	6.09855	5.71793	6.04375	5.79878	5.76492
MESP1	6.82011	6.50501	6.55497	6.44092	6.43146	7.00771	6.48106	6.61769	6.78134
MFAP4	6.01437	6.45402	6.10438	6.30384	6.15016	6.11877	6.20889	6.25231	6.11158
MT1L	5.97984	6.32243	6.19865	6.18248	6.10976	6.20867	6.48356	5.81369	6.20366
MYBPC2	5.77372	5.72578	5.84936	5.86058	5.94578	5.5425	5.71319	5.93975	5.69593
