SYMBOL	s_629	s_784	s_951	s_626	s_783	s_957	s_627	s_781	s_948
BNIPL	0.157561966	0.165868018	0.302051913	0.211537158	0.224848911	0.119706295	0.153384236	0.131766431	0.100725152
C19orf26	0.696297545	0.509110028	0.622957537	0.390140984	0.440558314	0.478006872	0.332326141	0.469096329	0.31780026
C1orf95	-0.495295244	-0.422575551	-0.455297394	-0.419759161	-0.476279417	-0.38934185	-0.409473514	-0.425672952	-0.479888675
CAMK2N1	0.167960731	0.21175052	0.177363624	0.093317136	0.272625741	0.264029798	0.339460854	0.11636246	0.159345298
CASC2	0.474380985	0.4466478	0.350133594	0.32653909	0.382987823	0.478362276	0.440471922	0.411756374	0.412896126
CITED1	-0.042907233	-0.028342649	-0.165732479	-0.108647267	-0.162118577	-0.043591863	-0.167048109	-0.128141383	-0.109278266
DCDC2	0.048603064	0.122471292	0.117980956	0.01356051	-0.01964039	0.011144481	0.028102517	-0.012564812	-0.038859347
FAM186B	0.296800417	0.216175925	0.069688394	0.07756252	0.07691913	0.152389217	0.056015325	0.137283208	0.208300652
FAM46B	0.144791492	0.079186545	0.251864303	0.16214733	0.217058804	0.069652743	0.140673224	0.151366696	0.126095
FILIP1	0.256190657	0.205766096	0.326155302	0.271870009	0.351276703	0.186395323	0.251306585	0.22232445	0.266816625
FSCN2	-0.01031666	-0.006930189	-0.039121744	-0.117097829	-0.148784203	-0.038412239	-0.141218718	-0.112918814	-0.191099224
GAD1	0.322642354	0.457502046	0.513191025	0.407832681	0.321354782	0.330435922	0.42575944	0.377377647	0.312607529
GALNT8	0.146170391	-0.014429147	-0.091233305	-0.036070147	-0.00369753	-0.010195137	-0.09629293	0.03193399	0.115235755
GLI3	1.299480449	1.161523816	1.236864909	0.899825005	1.023556532	0.964041865	1.051936178	1.066161284	1.050334858
GRPR	0.758142009	0.740471862	0.69999429	0.677699158	0.914166376	0.823178646	0.920387411	0.70159034	0.833055642
GXYLT2	0.439666236	0.369742265	0.323852324	0.168292297	0.35656848	0.297447653	0.404132934	0.285780722	0.39079149
HOXA4	-0.074298728	-0.108526134	-0.058013419	-0.016902435	0.029142037	-0.058856979	-0.078013504	-0.08983057	-0.052344269
IQUB	0.126608323	-0.038245928	-0.141337632	-0.094257291	-0.027548179	-0.010448867	-0.117827314	-0.019682175	0.066310218
